image1,image2,image3,choice
605,5,1623,2
368,755,885,1
1155,1334,1572,3
1854,1696,1213,3
566,1826,383,1
930,463,760,1
558,696,1613,2
655,1833,1787,2
567,1127,1546,2
834,1681,1270,2
165,1131,301,3
618,1256,1296,3
1403,957,309,3
242,7,35,1
1258,1743,691,1
191,609,1000,3
132,907,112,1
1478,1487,742,1
634,1527,458,1
467,553,781,2
256,92,1498,2
1719,1368,42,3
1797,11,1176,2
661,1018,850,2
1297,1148,413,3
1209,1373,456,2
1704,92,1097,1
290,831,914,3
1714,596,302,3
1057,1770,717,1
1161,688,386,1
412,610,1088,3
46,187,587,1
1651,1452,1359,3
246,1298,226,2
84,1410,783,1
625,532,1395,3
189,1207,43,3
1078,1322,494,1
1509,770,203,1
12,57,655,2
234,1321,1177,2
1190,967,396,3
1510,808,1550,2
3,449,486,3
439,153,386,1
881,1503,792,3
902,1627,585,3
179,78,1045,3
1315,872,63,3
1782,1606,191,2
770,508,525,1
296,1745,1127,2
748,1622,1342,2
39,874,572,2
1479,1017,1119,1
433,353,588,2
1156,696,1303,3
244,457,1712,2
226,1350,268,3
177,1548,1853,3
111,707,1364,2
1695,616,1794,1
1622,765,1454,1
966,861,1016,1
56,1819,304,1
1187,1417,335,2
214,412,1717,3
1284,1851,1662,2
320,495,1334,2
791,844,239,3
933,888,998,1
825,991,473,2
568,436,946,3
1350,937,1371,3
742,1198,1667,2
1792,224,997,1
1037,635,524,3
1477,860,413,1
1766,1609,1006,1
1450,717,1397,3
1776,56,422,1
1289,1659,1478,2
553,722,538,3
480,1735,1522,3
1656,815,780,3
1438,274,167,1
604,55,1244,2
1074,1324,1353,3
8,165,1472,1
29,1305,1644,3
223,138,1064,3
93,1129,395,2
1663,917,341,2
1204,215,1435,2
341,1016,558,2
1257,661,1642,3
174,1542,1318,2
795,1565,799,3
1159,427,501,1
370,812,1232,1
1625,1814,1161,3
38,1400,413,3
688,369,1374,2
1252,184,641,3
941,470,661,3
198,718,1588,3
1108,346,928,3
1391,1472,1135,1
133,1355,1328,1
1222,311,1051,1
1719,1372,601,3
905,676,1053,1
1031,326,1554,3
1753,1290,1203,1
502,1462,183,3
289,965,896,3
1404,778,1530,3
155,1276,453,3
1521,1195,750,3
790,530,9,1
1374,878,918,1
427,838,1045,1
850,1675,1056,2
1443,1784,430,1
959,858,1196,3
651,757,1006,3
1551,518,888,2
1342,358,280,3
272,277,1826,2
1638,1789,233,3
1658,579,1733,1
301,916,1765,2
1444,990,1506,1
1273,1291,1358,3
661,1816,1110,2
172,569,53,1
151,1366,1202,3
150,776,1216,1
1535,763,472,1
1172,334,1350,1
494,1654,1006,3
1208,1180,1428,3
1815,1564,1427,2
1330,1180,587,3
1224,982,1776,1
896,437,1218,2
1553,685,312,3
1441,368,1318,3
1228,286,1379,3
704,415,1356,3
1626,1108,894,3
1758,1603,121,1
594,610,820,1
189,243,574,3
923,666,1169,2
667,528,1624,1
1846,643,1296,1
1707,945,1666,3
77,446,1528,2
1025,279,692,1
474,1834,782,3
513,709,993,3
36,517,1166,1
305,1,1340,1
668,1334,6,2
1854,393,226,1
509,187,1727,3
898,161,730,1
1470,992,687,2
259,1047,1659,3
819,1772,123,3
600,1562,246,2
1585,209,643,2
1753,1387,1175,1
1091,1118,1071,1
157,892,1380,1
843,266,885,2
1563,1854,1391,1
488,592,1819,1
976,791,1358,1
1294,659,650,1
1495,1422,116,3
1280,434,1578,1
1060,429,1048,1
1318,1298,1435,2
735,1163,589,2
343,1587,141,1
1426,1735,735,2
693,69,1643,3
176,856,862,3
815,1702,883,1
1229,1549,1191,1
772,425,1561,3
1204,1459,106,2
129,1104,1653,1
632,1014,993,3
119,1091,459,2
1579,1102,1840,3
970,207,1786,2
1741,244,142,2
283,523,896,1
834,939,1199,1
528,140,1779,3
1378,1318,88,3
1006,884,931,1
958,725,1170,3
596,1238,916,2
1021,561,1803,2
946,387,1147,3
1473,1503,1618,3
346,1054,326,2
574,1735,1035,3
460,228,123,2
1505,382,1287,1
523,1679,1263,1
1565,329,123,3
1164,1495,53,1
1092,1788,809,1
614,999,714,3
1260,1561,87,2
1610,1770,1290,1
1196,526,498,1
1663,684,1686,1
1074,215,1419,2
537,1057,490,1
713,30,1329,3
640,84,630,1
430,1702,1097,1
1302,319,90,1
301,1140,1732,1
974,1024,1229,1
1050,148,843,2
327,554,427,2
1545,96,1286,2
415,518,272,1
1665,462,406,3
1645,1580,688,1
1736,1684,1265,3
1725,1376,1672,1
405,9,1773,1
1718,1471,1849,3
1007,191,212,1
1031,223,1324,2
601,607,858,1
996,391,1358,1
1219,1326,930,3
